host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,n_host_verifications
1,0.92,FALSE,3,3,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,80,2,1125,2,2,1125,1125,2,1125,TRUE,1,1,5,280,155,14,1,4.68,4.45,4.9,4.86,4.5,4.72,FALSE,4,0,4,0,1.26,7
0.77,0.8,FALSE,3,3,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,2,1.593526985,240,3,60,3,3,1125,1125,3,1125,TRUE,9,39,65,149,121,17,1,4.75,4.58,4.71,4.61,4.77,4.75,FALSE,1,1,0,0,2.16,8
1,0,FALSE,2,2,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,2,99,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,95,179,0,0,4.82,4.91,4.91,4.93,4.8,4.78,FALSE,1,1,0,0,2.02,9
1,1,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,70,30,730,30,30,730,730,30,730,TRUE,7,37,67,342,59,1,0,4.55,3.91,4.85,4.77,4.15,4.45,FALSE,2,0,2,0,0.56,8
1,1,TRUE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,3,1,1,2,171,30,1125,30,30,1125,1125,30,1125,TRUE,27,57,87,177,27,1,0,4.58,4.48,5,4.81,4.7,4.48,FALSE,1,1,0,0,0.67,7
1,0.768297462,TRUE,1,1,TRUE,TRUE,Brooklyn,Private room,1,1,1,1,80,7,60,7,7,60,60,7,60,TRUE,0,0,0,0,49,0,0,4.85,4.79,4.83,4.83,4.83,4.64,FALSE,1,0,1,0,0.39,4
0.5,0.09,FALSE,2,2,TRUE,TRUE,Manhattan,Entire home/apt,4,2,2,2,400,30,365,30,30,365,365,30,365,TRUE,0,0,0,33,5,0,0,5,4.8,5,5,4.8,4.8,FALSE,1,1,0,0,0.07,4
0.93,0.43,FALSE,4,4,TRUE,TRUE,Manhattan,Entire home/apt,6,1,2,4,206,30,1125,30,30,1125,1125,30,1125,TRUE,2,32,62,247,84,0,0,4.68,4.45,4.55,4.53,4.7,4.59,FALSE,3,3,0,0,0.62,8
0.67,0.25,TRUE,2,2,TRUE,TRUE,Brooklyn,Entire home/apt,8,2,4,4,140,30,730,30,30,730,730,30,730,TRUE,0,7,7,157,154,3,1,4.93,4.93,4.98,4.98,4.85,4.89,FALSE,1,1,0,0,1.25,5
0.9,0.09,FALSE,2,2,TRUE,FALSE,Brooklyn,Private room,2,1,1,2,55,14,150,14,14,150,150,14,150,TRUE,5,10,16,204,29,1,0,4.6,4.32,4.81,4.77,4.69,4.58,FALSE,2,0,2,0,0.35,4
1,1,TRUE,2,2,TRUE,TRUE,Manhattan,Private room,2,1,1,1,95,1,1125,1,2,1125,1125,1.1,1125,TRUE,2,4,27,46,429,9,1,4.78,4.75,4.79,4.76,4.72,4.69,FALSE,1,0,1,0,4.94,8
1,0.71,FALSE,2,2,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,500,1,1125,1,1,1125,1125,1,1125,TRUE,19,49,79,354,212,30,2,4.74,4.75,4.92,4.92,4.72,4.47,FALSE,1,1,0,0,1.58,7
1,0.71,FALSE,3,3,TRUE,TRUE,Manhattan,Private room,1,1,1,1,144,1,30,1,1,30,30,1,30,TRUE,10,40,66,66,137,18,1,4.66,4.37,4.75,4.87,4.9,4.62,FALSE,3,0,3,0,1.75,7
1,0.95,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,8,2,4,6,250,5,365,5,5,365,365,5,365,TRUE,7,20,27,64,233,19,2,4.83,4.73,4.96,4.93,4.41,4.76,FALSE,1,1,0,0,1.85,4
1,0.33,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1,1,220,30,90,30,30,90,90,30,90,TRUE,27,57,87,177,53,0,0,4.8,4.9,4.98,4.98,4.56,4.55,FALSE,1,1,0,0,0.46,6
0.89073136,1,FALSE,2,2,TRUE,TRUE,Manhattan,Private room,2,1,1,1,65,2,28,2,2,28,28,2,28,TRUE,0,26,56,331,60,0,0,4.9,4.8,4.93,4.92,4.83,4.88,FALSE,2,0,2,0,1.06,6
0.5,0,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1,1,190,30,365,30,30,365,365,30,365,TRUE,0,0,4,249,21,0,0,4.84,4.88,4.88,4.94,4.88,4.76,FALSE,1,1,0,0,0.15,5
1,0.768297462,TRUE,1,1,TRUE,TRUE,Manhattan,Private room,2,1,2,1,60,30,30,30,30,30,30,30,30,TRUE,22,52,82,357,148,0,0,4.41,4.26,4.82,4.76,4.71,4.47,FALSE,1,0,1,0,1.34,4
1,1,TRUE,1,1,TRUE,TRUE,Manhattan,Private room,3,1.5,1,1,175,4,150,1,4,1125,1125,4,1125,TRUE,7,37,67,335,200,16,1,4.95,4.96,4.98,4.98,5,4.93,TRUE,1,0,1,0,1.93,6
0.89073136,0.768297462,FALSE,1,1,TRUE,FALSE,Manhattan,Private room,2,1,1,1,95,30,180,30,30,180,180,30,180,FALSE,0,0,0,0,1,0,0,5,3,5,5,5,5,FALSE,1,0,1,0,0.01,2
0.89073136,0,TRUE,2,2,TRUE,TRUE,Manhattan,Entire home/apt,3,1,2,2,110,31,365,31,31,365,365,31,365,TRUE,0,0,0,173,58,0,0,4.71,4.8,4.76,4.82,4.25,4.69,FALSE,1,1,0,0,0.47,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,4,2,1,2,110,30,60,30,30,60,60,30,60,TRUE,22,24,54,54,17,0,0,4.69,4.79,4.86,4.79,4.57,4.71,FALSE,1,0,1,0,0.15,5
0,0,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,105,30,90,30,30,90,90,30,90,TRUE,5,35,65,340,61,0,0,4.49,3.53,4.65,4.68,4.98,4.41,FALSE,1,1,0,0,0.61,4
1,0.6,TRUE,3,3,TRUE,FALSE,Brooklyn,Private room,2,1.5,1,1,85,30,730,30,30,730,730,30,730,TRUE,0,30,60,335,47,2,0,4.89,4.87,4.96,4.85,4.98,4.91,FALSE,4,1,3,0,0.63,5
0,0.14,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1.5,1,1.593526985,50,5,100,5,5,100,100,5,100,TRUE,6,22,52,327,31,0,0,4.34,3.86,4.34,4.24,4.52,4.52,FALSE,1,0,1,0,0.61,6
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,80,30,365,30,30,365,365,30,365,TRUE,0,0,0,0,168,0,0,4.05,3.69,4.59,4.39,4.4,4.16,FALSE,1,1,0,0,1.6,5
0.38,0.5,FALSE,1,1,TRUE,TRUE,Manhattan,Private room,2,1,1,1.593526985,88,30,365,30,30,365,365,30,365,TRUE,24,27,49,324,85,2,0,4.69,4.57,4.93,4.91,4.76,4.76,FALSE,1,0,1,0,1.3,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Private room,1,1,1,1.593526985,99,30,60,30,30,60,60,30,60,TRUE,30,60,90,365,3,0,0,5,5,5,4.67,5,4.33,FALSE,1,0,1,0,0.08,6
0,0,FALSE,2,2,TRUE,TRUE,Manhattan,Private room,2,1,1,1,85,30,1125,30,30,1125,1125,30,1125,TRUE,29,59,89,364,36,0,0,4.97,4.8,5,5,5,4.91,FALSE,2,0,2,0,0.5,6
1,0.5,FALSE,5,5,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,182,3,45,2,7,45,45,3.1,45,TRUE,17,47,77,349,274,15,2,4.69,4.87,4.82,4.72,4.64,4.68,FALSE,3,3,0,0,2.79,10
1,0.9,TRUE,2,2,TRUE,TRUE,Manhattan,Entire home/apt,4,2,3,3,500,7,29,7,7,29,29,7,29,TRUE,3,33,63,243,52,3,0,4.43,4.27,4.49,4.76,4.98,4.56,FALSE,2,1,1,0,0.51,8
1,1,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,5,3,4,6,220,30,180,30,30,180,180,30,180,TRUE,13,15,45,320,91,3,0,4.82,4.93,4.95,4.77,4.77,4.85,FALSE,1,1,0,0,0.74,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,4,1,1,2,83,30,100,30,30,100,100,30,100,TRUE,0,0,0,0,29,0,0,4.62,4.45,4.97,4.97,4.79,4.72,FALSE,1,1,0,0,0.36,5
0.89073136,0,FALSE,1,1,TRUE,TRUE,Manhattan,Private room,2,1,1,1,100,1,1125,1,1,1125,1125,1,1125,TRUE,0,2,32,307,190,0,0,4.75,4.67,4.92,4.88,4.65,4.73,FALSE,1,0,1,0,2.15,5
1,1,TRUE,2,2,TRUE,TRUE,Brooklyn,Entire home/apt,3,1,1,1,90,30,365,30,30,1125,1125,30,1125,TRUE,1,1,1,175,476,4,0,4.93,4.96,4.98,4.98,4.89,4.91,TRUE,2,2,0,0,4.06,9
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,4,1.5,2,3,225,30,30,30,30,30,30,30,30,TRUE,15,15,15,254,28,0,0,4.6,4.47,4.8,4.87,4.87,4.4,FALSE,1,1,0,0,0.37,5
