host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,n_host_verifications
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,4,1,1,2,180,30,30,30,30,30,30,30,30,TRUE,0,0,0,0,24,0,0,4.95,4.81,5,4.95,4.86,4.9,FALSE,1,1,0,0,0.28,6
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Private room,1,1,1,1,86,30,95,30,30,95,95,30,95,TRUE,0,0,0,0,3,0,0,5,5,5,5,4,5,FALSE,1,0,1,0,0.04,4
0.65,0.14,FALSE,5,5,TRUE,TRUE,Brooklyn,Entire home/apt,4,1.5,2,2,75,3,1125,3,3,1125,1125,3,1125,TRUE,3,33,63,338,60,2,0,4.25,4.3,4.6,4.5,4.03,4.36,FALSE,2,1,1,0,0.87,7
0.89073136,0.768297462,FALSE,2,2,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1.323567139,1,149,30,150,30,30,150,150,30,150,TRUE,0,0,4,279,140,0,0,4.7,4.61,4.87,4.88,4.89,4.67,FALSE,1,1,0,0,1.83,5
0.9,0.76,FALSE,3,3,TRUE,FALSE,Manhattan,Private room,1,1,1,1.593526985,70,2,1125,2,2,1125,1125,2,1125,TRUE,3,16,16,16,44,44,3,5,5,4.93,4.93,5,4.98,FALSE,2,0,2,0,20,2
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,1,2,1,1,45,30,30,30,30,30,30,30,30,TRUE,0,0,0,0,13,0,0,4.77,4.54,4.73,4.69,4.73,4.73,FALSE,1,0,1,0,0.16,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1,2,160,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,6,0,0,4.67,3.5,4.5,5,5,4.17,FALSE,1,1,0,0,0.1,8
0.89073136,1,TRUE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,75,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,127,113,2,0,4.65,4.7,4.77,4.88,4.35,4.69,FALSE,1,1,0,0,1.3,6
1,0.84,TRUE,0,0,TRUE,TRUE,Brooklyn,Private room,1,1,1,1,80,10,60,10,10,60,60,10,60,TRUE,8,33,63,338,92,4,2,4.86,4.93,4.88,4.85,4.95,4.85,FALSE,1,0,1,0,1.15,7
0.89073136,0.768297462,FALSE,1,1,TRUE,FALSE,Brooklyn,Private room,2,1,1,1,72,30,90,30,30,90,90,30,90,TRUE,0,0,0,0,4,0,0,4.67,5,5,4.33,4.33,5,FALSE,1,0,1,0,0.05,3
1,0.33,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,94,9,100,9,21,100,100,11.9,100,TRUE,8,26,49,91,28,1,0,4.81,4.56,4.88,4.93,4.88,4.81,FALSE,1,1,0,0,0.47,5
0.89073136,0.768297462,FALSE,1,1,TRUE,FALSE,Brooklyn,Entire home/apt,6,2,2,5,192,2,7,2,2,7,7,2,7,TRUE,0,0,0,0,8,0,0,5,5,5,5,4.88,4.75,FALSE,1,1,0,0,0.28,3
0.1,0.26,FALSE,14,14,TRUE,TRUE,Queens,Entire home/apt,2,1,1,1,140,30,200,30,30,200,200,30,200,TRUE,18,48,78,353,32,1,0,4.89,4.78,4.7,4.89,4.63,4.81,FALSE,4,2,2,0,0.36,8
0.89073136,0.768297462,FALSE,2,2,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,69,2,1125,2,2,1125,1125,2,1125,TRUE,0,0,0,0,11,0,0,4.8,4.7,4.9,4.9,5,4.7,TRUE,2,1,1,0,0.12,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Queens,Private room,1,1,1,1,50,30,30,30,30,30,30,30,30,FALSE,0,0,0,0,2,0,0,5,5,5,5,5,5,FALSE,1,0,1,0,0.02,5
0.9,0.94,FALSE,0,0,TRUE,TRUE,Brooklyn,Private room,1,2,1,1,148,29,45,29,29,45,45,29,45,TRUE,1,1,1,1,25,5,0,4.68,4.6,4.88,4.8,4.76,4.68,FALSE,3,0,3,0,0.28,9
1,0,TRUE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1.5,1,1,49,30,1125,30,30,1125,1125,30,1125,TRUE,0,1,1,230,58,0,0,4.98,5,5,5,4.84,4.95,FALSE,1,0,1,0,1.32,5
0.98,0.84,FALSE,29,29,TRUE,TRUE,Manhattan,Entire home/apt,3,1,2,2,134,30,360,30,30,360,360,30,360,TRUE,20,50,80,355,3,0,0,5,5,5,5,5,4.67,FALSE,30,30,0,0,0.07,4
0.89073136,0.768297462,FALSE,8,8,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1,1,109,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,15,105,19,4,0,4.42,4.42,4.84,4.84,4.68,4.05,FALSE,5,5,0,0,0.24,4
0.67,0.83,FALSE,3,3,TRUE,TRUE,Bronx,Private room,2,1,1,1,115,1,1125,1,1,1125,1125,1,1125,TRUE,24,54,84,359,5,1,0,3.6,3.6,3.4,3.2,3.2,3.2,FALSE,1,0,1,0,0.1,6
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,5,1,1,2,120,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,12,0,0,4.91,4.73,4.82,4.91,4.55,4.91,TRUE,1,1,0,0,0.18,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Private room,1,1,1,1,55,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,3,0,0,5,5,5,5,4.67,5,FALSE,1,0,1,0,0.03,8
0.89073136,0.768297462,FALSE,19,19,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1.323567139,1,87,365,730,365,365,730,730,365,730,TRUE,0,0,0,109,15,1,0,4.07,3.87,4.73,4.53,4.67,3.93,FALSE,20,20,0,0,0.18,4
0.93,0.99,FALSE,52,52,TRUE,TRUE,Brooklyn,Entire home/apt,4,1,1,2,139,30,180,30,30,1125,1125,30,1125,TRUE,0,0,0,248,4,1,1,5,5,5,5,4.75,4.25,FALSE,45,44,0,0,0.06,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,1,1,1,1,65,30,1125,30,30,1125,1125,30,1125,FALSE,0,0,0,0,18,0,0,4.82,4.88,4.88,4.94,4.65,4.94,FALSE,1,0,1,0,0.2,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,4,1,2,3,175,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,26,0,0,4.82,4.82,4.86,4.91,4.95,4.77,FALSE,1,1,0,0,0.34,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,5,1,2,3,175,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,4,0,0,5,5,5,5,5,4.75,FALSE,1,1,0,0,0.06,4
1,0.67,FALSE,4,4,TRUE,TRUE,Brooklyn,Entire home/apt,4,1,2,2,225,30,1125,30,30,1125,1125,30,1125,TRUE,28,58,88,363,3,0,0,4.67,5,5,5,5,4.33,FALSE,3,3,0,0,0.04,5
1,0.43,TRUE,3,3,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,80,30,120,30,30,120,120,30,120,TRUE,0,0,0,0,32,0,0,4.35,4.52,4.55,4.61,4.29,4.35,FALSE,3,2,1,0,0.67,6
1,0.6,FALSE,1,1,TRUE,FALSE,Brooklyn,Entire home/apt,2,1,1,1.593526985,70,30,30,30,30,30,30,30,30,TRUE,0,27,57,57,40,0,0,4.41,4.28,4.95,4.87,4.41,4.54,FALSE,1,1,0,0,0.5,6
1,1,TRUE,2,2,TRUE,TRUE,Queens,Private room,1,1,1,1,90,30,1125,30,30,1125,1125,30,1125,TRUE,15,30,30,30,38,0,0,4.92,4.97,5,4.95,4.84,4.59,FALSE,1,0,1,0,1.24,6
1,0.94,TRUE,0,0,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,150,2,31,2,2,31,31,2,31,TRUE,0,0,13,288,83,13,4,4.99,5,5,5,4.99,4.95,FALSE,1,1,0,0,1.21,7
1,0.92,FALSE,33,33,TRUE,TRUE,Manhattan,Entire home/apt,5,1,2,3,155,30,365,30,30,365,365,30,365,TRUE,1,1,28,303,18,2,0,4.75,4.69,4.94,4.81,4.75,4.69,FALSE,34,34,0,0,0.2,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,65,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,35,0,0,4.63,4.54,4.63,4.71,4.54,4.63,FALSE,1,0,1,0,0.52,3
1,0.92,FALSE,33,33,TRUE,TRUE,Manhattan,Entire home/apt,4,1,1,2,140,30,1125,30,30,1125,1125,30,1125,TRUE,0,13,43,318,2,0,0,1.5,1.5,2,1,3,1.5,FALSE,34,34,0,0,0.02,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Queens,Private room,2,1,1,1,121,30,1125,30,30,1125,1125,30,1125,TRUE,29,59,89,364,51,0,0,4.9,4.94,4.96,4.96,4.88,4.84,FALSE,1,0,1,0,0.67,4
0.89073136,0.768297462,FALSE,3,3,TRUE,TRUE,Manhattan,Private room,2,1,1,1,75,30,365,30,30,365,365,30,365,TRUE,0,0,0,0,14,0,0,4.15,3.46,4.15,4.77,4.08,4.31,FALSE,3,0,3,0,0.17,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Bronx,Private room,1,1,1,1,30,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,12,0,0,4.92,5,5,5,5,5,FALSE,1,0,1,0,0.23,8
1,0.97,FALSE,3,3,TRUE,TRUE,Brooklyn,Entire home/apt,3,1,1,1.593526985,72,30,1125,30,30,1125,1125,30,1125,TRUE,4,4,4,223,109,4,0,4.75,4.79,4.92,4.95,4.58,4.77,FALSE,3,3,0,0,1.24,9
1,0.99,TRUE,2,2,TRUE,TRUE,Manhattan,Private room,2,1.5,1,1,63,3,28,1,3,1125,1125,2.9,1125,TRUE,1,4,7,33,271,48,3,4.78,4.87,4.93,4.87,4.82,4.84,TRUE,2,1,1,0,3.1,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1,1,1.593526985,51,30,1125,30,30,1125,1125,30,1125,TRUE,29,59,89,364,28,0,0,4.59,4.67,4.67,4.81,4.78,4.7,FALSE,1,0,1,0,0.37,6
1,0.64,TRUE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,3,1,1,1,675,1,18,1,1,18,18,1,18,TRUE,4,4,4,4,67,7,2,4.82,4.54,4.83,4.89,4.98,4.77,FALSE,1,1,0,0,1.06,5
1,0.91,TRUE,2,2,TRUE,TRUE,Brooklyn,Entire home/apt,5,2,3,3,209,2,1125,2,2,1125,1125,2,1125,TRUE,5,27,48,299,348,55,5,4.84,4.78,4.89,4.96,4.54,4.79,FALSE,1,1,0,0,4,5
0.98,0.84,FALSE,29,29,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1,1,96,30,360,30,30,360,360,30,360,TRUE,9,13,39,314,8,2,0,4.63,4.63,4.75,5,4.63,4.38,FALSE,30,30,0,0,0.28,4
0.75,0.86,FALSE,2,2,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,2,1,125,30,180,30,30,180,180,30,180,TRUE,0,18,48,75,16,4,0,4.69,4.5,4.94,5,5,4.69,FALSE,1,1,0,0,0.2,6
1,0.38,FALSE,1,1,TRUE,FALSE,Brooklyn,Entire home/apt,4,1,2,2,164,2,1125,2,2,1125,1125,2,1125,TRUE,0,19,49,90,1,1,1,5,5,5,5,5,5,FALSE,1,1,0,0,1,3
1,1,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,4,1,1,2,170,4,29,4,4,29,29,4,29,TRUE,3,33,52,305,165,7,3,4.95,4.96,4.96,4.97,4.88,4.91,FALSE,1,1,0,0,2.12,6
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,1,1,1.323567139,1.593526985,119,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,13,0,0,4.85,4.62,4.85,4.85,4.92,4.77,TRUE,1,1,0,0,0.15,5
1,0.56,TRUE,20,20,TRUE,TRUE,Brooklyn,Entire home/apt,5,2,2,3,232,30,365,30,30,365,365,30,365,TRUE,15,45,75,350,15,1,0,4.6,4.4,4.93,4.8,4.33,4.4,FALSE,19,19,0,0,0.28,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1.323567139,1,153,7,20,7,7,20,20,7,20,TRUE,0,0,0,0,17,0,0,4.94,4.94,4.88,4.94,4.5,4.75,FALSE,1,1,0,0,0.31,5
0.89073136,0.768297462,TRUE,1,1,TRUE,TRUE,Queens,Private room,2,1,1,2,75,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,118,0,0,4.85,4.92,4.95,4.93,4.84,4.82,FALSE,1,0,1,0,1.35,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,5,2,2,2,425,30,365,30,30,365,365,30,365,TRUE,3,33,63,212,13,0,0,4.36,4.64,4.82,4.73,4.55,4.36,FALSE,1,1,0,0,0.2,6
1,0.83,TRUE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,4,1,1,2,100,30,30,30,30,1125,1125,30,1125,TRUE,2,12,42,317,246,3,0,4.79,4.83,4.77,4.81,4.66,4.74,FALSE,1,1,0,0,3.3,5
0.89073136,0.768297462,TRUE,5,5,TRUE,TRUE,Manhattan,Private room,2,1,1,1,83,1,1125,1,1,1125,1125,1,1125,TRUE,5,5,5,9,322,14,0,4.88,4.92,4.82,4.86,4.66,4.88,TRUE,2,1,1,0,3.82,5
0.89073136,0.768297462,FALSE,1,1,TRUE,FALSE,Brooklyn,Entire home/apt,4,1,2,2,150,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,2,0,0,4.5,4,5,4.5,4,5,FALSE,1,1,0,0,0.02,3
0.89073136,0.768297462,TRUE,1,1,TRUE,FALSE,Brooklyn,Private room,2,1,1,1,50,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,27,0,0,4.78,5,4.92,4.96,4.54,4.85,FALSE,1,0,1,0,0.35,3
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1.323567139,1,100,30,365,30,30,365,365,30,365,TRUE,0,0,0,0,7,0,0,4.57,4.57,4.86,4.86,4.71,5,FALSE,1,1,0,0,0.09,5
1,0.91,TRUE,2,2,TRUE,TRUE,Brooklyn,Entire home/apt,4,1,1,2,165,3,1124,3,4,1125,1125,3,1125,TRUE,8,38,68,248,161,25,0,4.65,4.79,4.87,4.93,4.4,4.53,FALSE,2,2,0,0,1.99,6
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,3,1,1,2,200,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,35,0,0,4.8,4.71,4.91,4.91,5,4.79,TRUE,1,1,0,0,1.5,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1.323567139,1,190,30,365,30,30,365,365,30,365,TRUE,0,0,0,30,20,0,0,4.65,4.47,4.95,4.95,4.83,4.42,FALSE,1,1,0,0,0.23,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,65,30,1125,30,30,1125,1125,30,1125,FALSE,0,0,0,0,3,0,0,4.67,4.33,5,4.67,4.67,4.67,FALSE,1,0,1,0,0.04,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,1,1,1,1,99,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,10,0,0,4.9,4.9,4.8,4.9,5,5,FALSE,1,1,0,0,0.28,4
0.89073136,0.89,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,9,2.5,5,6,395,5,1125,5,5,1125,1125,5,1125,TRUE,0,0,0,0,35,7,0,4.86,4.77,4.88,4.94,4.74,4.76,FALSE,1,1,0,0,0.45,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,4,2,2,1,200,30,90,30,30,90,90,30,90,TRUE,0,0,0,0,6,0,0,4.83,4.67,4.83,4.83,4.17,4.5,FALSE,1,1,0,0,0.08,6
1,0.82,TRUE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,165,3,1125,3,3,1125,1125,3,1125,TRUE,0,0,0,0,6,0,0,4.83,5,4.83,4.83,4.83,4.83,FALSE,1,1,0,0,0.08,6
0.56,0.35,FALSE,0,0,TRUE,FALSE,Brooklyn,Entire home/apt,2,1,1,4,86,2,5,1,2,5,5,1.9,5,TRUE,12,42,72,162,220,38,2,4.74,4.77,4.89,4.85,4.65,4.77,FALSE,1,1,0,0,4.96,3
0.89073136,0.67,TRUE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,3,1,1,1,195,5,1125,5,5,1125,1125,5,1125,TRUE,0,0,0,0,103,5,0,4.82,4.79,4.83,4.83,4.83,4.76,FALSE,1,1,0,0,1.17,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,68,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,6,0,0,3.67,3,4.8,4.6,4.8,4.2,FALSE,1,0,1,0,0.08,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,3,1,1,2,199,30,90,30,30,90,90,30,90,TRUE,0,0,0,0,60,0,0,4.8,4.92,4.84,5,4.98,4.67,FALSE,1,1,0,0,0.89,5
0.89073136,0.768297462,FALSE,1,1,TRUE,FALSE,Brooklyn,Private room,1,1.5,1,1,65,60,180,60,60,180,180,60,180,TRUE,0,0,0,0,2,0,0,4.5,4,5,5,5,5,FALSE,1,0,1,0,0.02,4
0.89073136,0.768297462,FALSE,2,2,TRUE,TRUE,Manhattan,Entire home/apt,4,1,1,2,143,30,365,30,30,365,365,30,365,TRUE,0,0,0,0,5,0,0,5,4.5,5,5,5,5,FALSE,1,1,0,0,0.07,6
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Private room,3,1,1,1,84,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,6,0,0,4.8,4.4,5,4.8,5,4.75,FALSE,1,0,1,0,0.09,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,8,2,3,4,199,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,18,0,0,4.73,4.73,4.93,5,4.4,4.73,FALSE,1,1,0,0,0.34,5
0.9,0.4,FALSE,2,2,TRUE,TRUE,Queens,Entire home/apt,4,1,1,3,106,30,185,30,30,185,185,30,185,TRUE,29,59,89,179,89,1,0,4.61,4.69,4.86,4.97,4.87,4.61,FALSE,3,3,0,0,1.11,7
0.65,0.14,FALSE,5,5,TRUE,TRUE,Brooklyn,Private room,4,2,2,1.593526985,60,1,1125,1,1,1125,1125,1,1125,TRUE,3,33,63,338,8,0,0,4,4.88,4.13,4.38,3.38,3.75,FALSE,2,1,1,0,0.11,7
1,1,TRUE,1,1,TRUE,TRUE,Manhattan,Private room,3,1,1,2,68,2,1125,2,2,1125,1125,2,1125,TRUE,0,22,49,293,250,16,0,4.82,4.72,4.94,4.93,4.73,4.77,TRUE,1,0,1,0,2.8,5
0.9,1,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,5,1,2,3,145,3,400,3,3,1125,1125,3,1125,TRUE,5,35,65,155,189,5,3,4.63,4.6,4.88,4.9,4.51,4.61,TRUE,1,1,0,0,2.19,5
0.89073136,0.768297462,FALSE,2,2,TRUE,TRUE,Manhattan,Entire home/apt,4,1,1,1,175,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,3,0,0,4.5,5,5,5,4,4.5,TRUE,1,1,0,0,0.11,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1,1,160,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,1,0,0,5,0,0,0,0,0,FALSE,1,1,0,0,0.01,7
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,4,1,2,2,166,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,9,0,0,4.78,5,4.88,5,4.67,4.89,FALSE,1,1,0,0,0.13,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Queens,Private room,2,1,1,1,80,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,2,0,0,4.5,4.5,5,5,4.5,4.5,FALSE,1,0,1,0,0.02,4
0.93,0.99,FALSE,52,52,TRUE,TRUE,Brooklyn,Entire home/apt,2,1,1.323567139,1,99,30,180,30,30,1125,1125,30,1125,TRUE,17,47,77,352,6,0,0,5,5,5,4.83,4.67,4.17,FALSE,45,44,0,0,0.07,5
1,0,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,71,30,90,30,31,100,1125,30.2,869.9,TRUE,3,33,63,90,19,0,0,4.79,4.63,4.95,5,4.79,4.74,FALSE,2,1,1,0,0.81,9
0.89073136,0.768297462,FALSE,2,2,TRUE,TRUE,Brooklyn,Private room,2,1.5,1,1,55,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,41,0,0,4.78,4.71,4.95,4.98,4.51,4.78,TRUE,1,0,1,0,0.93,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,5,1,2,3,87,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,7,0,0,4.71,4.86,4.57,4.57,4.57,4.57,FALSE,1,1,0,0,0.09,4
1,0.87,FALSE,12,12,TRUE,TRUE,Manhattan,Entire home/apt,6,1,2,5,138,30,1125,30,30,1125,1125,30,1125,TRUE,22,39,39,236,14,3,1,4.29,3.71,4.71,4.79,4.79,4.57,FALSE,12,12,0,0,0.23,6
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,4,1,2,3,150,30,1125,30,30,1125,1125,30,1125,FALSE,0,0,0,0,3,0,0,4.67,5,5,5,4.33,4.67,FALSE,1,1,0,0,0.03,4
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,3,1,1,1,90,30,60,30,30,60,60,30,60,TRUE,0,0,0,0,17,0,0,4.81,4.5,4.81,4.88,4.56,4.81,TRUE,1,1,0,0,0.36,5
1,0.97,TRUE,1,1,TRUE,TRUE,Staten Island,Private room,3,1.5,1,1,69,3,1125,2,2,1125,1125,2,1125,TRUE,8,28,58,326,157,33,1,4.84,4.84,4.88,4.93,4.94,4.86,FALSE,1,0,1,0,2.27,8
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Queens,Private room,2,1,1,1,50,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,3,0,0,4.67,5,5,4.67,4.67,5,FALSE,1,0,1,0,0.03,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,150,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,8,0,0,4.86,4.57,4.71,4.86,5,4.43,TRUE,1,0,1,0,0.11,4
0.89073136,0.768297462,TRUE,1,1,TRUE,TRUE,Brooklyn,Private room,2,1,1,1,115,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,95,0,0,4.95,4.99,4.97,4.96,4.97,4.93,TRUE,1,0,1,0,1.11,6
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,4,1,1,2,149,30,1125,30,30,1125,1125,30,1125,TRUE,0,0,0,0,8,0,0,4.43,4.43,4.43,4.43,4.57,4.43,FALSE,1,1,0,0,0.13,5
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Entire home/apt,4,1,1,3,200,30,366,30,30,366,366,30,366,FALSE,0,0,0,0,16,0,0,4.75,4.94,4.94,5,5,4.88,FALSE,1,1,0,0,0.21,7
1,0.78,TRUE,1,1,TRUE,TRUE,Manhattan,Private room,1,1,1,1,73,6,356,6,6,356,356,6,356,TRUE,0,17,47,306,210,12,2,4.69,4.6,4.9,4.9,4.86,4.76,FALSE,1,0,1,0,2.37,7
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Manhattan,Private room,1,1,1,1,80,5,150,5,5,1125,1125,5,1125,TRUE,0,0,0,0,30,0,0,4.82,4.93,4.96,4.89,4.79,4.64,FALSE,1,0,1,0,0.43,7
1,0.95,TRUE,2,2,TRUE,TRUE,Brooklyn,Entire home/apt,3,1,1,2,82,28,1125,28,28,1125,1125,28,1125,TRUE,0,0,0,274,107,4,0,4.86,4.94,4.94,4.93,4.44,4.9,FALSE,1,1,0,0,1.31,8
0,0.768297462,FALSE,1,1,TRUE,TRUE,Queens,Entire home/apt,2,1,1,1,150,2,1125,2,2,1125,1125,2,1125,TRUE,0,0,0,128,168,0,0,4.75,4.83,4.98,4.96,4.88,4.78,FALSE,1,1,0,0,1.99,7
0.89073136,0.768297462,FALSE,1,1,TRUE,TRUE,Brooklyn,Entire home/apt,4,2.5,2,3,320,30,90,30,30,90,90,30,90,TRUE,0,0,0,0,45,0,0,4.78,4.68,4.98,4.93,4.93,4.68,FALSE,1,1,0,0,0.69,6
0.86,0.43,FALSE,23,23,TRUE,TRUE,Manhattan,Private room,4,2,1,1,98,30,1125,30,30,1125,1125,30,1125,TRUE,7,37,67,342,57,0,0,4.3,4.05,4.48,4.57,4.64,4.46,FALSE,23,6,17,0,0.66,7
0.9,0.55,TRUE,3,3,TRUE,TRUE,Brooklyn,Private room,2,1,1,2,110,1,1125,1,1,1125,1125,1,1125,TRUE,2,32,62,337,28,6,0,4.86,4.71,4.89,4.93,4.96,4.89,FALSE,3,0,3,0,0.37,5
1,0.33,FALSE,1,1,TRUE,FALSE,Manhattan,Entire home/apt,4,1,2,2,85,40,55,40,40,1125,1125,40,1125,TRUE,0,20,50,50,2,0,0,5,4,5,5,5,5,TRUE,1,1,0,0,0.03,3
1,0,FALSE,1,1,TRUE,FALSE,Brooklyn,Private room,1,1,1,1,45,30,90,30,30,90,90,30,90,TRUE,1,3,33,33,9,0,0,4.13,3.63,4.75,4.75,4.75,4.38,FALSE,1,0,1,0,0.14,3
1,0.75,TRUE,0,0,TRUE,TRUE,Manhattan,Entire home/apt,2,1,1,1,120,3,20,3,3,20,20,3,20,TRUE,8,38,68,343,95,18,1,4.59,4.72,4.87,4.84,4.11,4.52,FALSE,3,3,0,0,1.1,4
